parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_dr2+planck_2018_lensing,lcdm,-1.6692853115348192,-1.668498701707776,0.09428787047480051
bao.desi_dr2+planck_2018_lensing,mlcdm,-0.9756378092280729,-0.9767915358139483,0.0684666896457459
bao.desi_dr2+planck_2018_lensing,nrunlcdm,-3.887521977669484,-3.8844304468980457,0.11129535892131912
bao.desi_dr2+planck_2018_lensing,rlcdm,-1.611521189844004,-1.6105489698094893,0.09420914213021664
bao.desi_dr2+planck_2018_lensing,walcdm,-3.8034397385934406,-3.8050422338080843,0.11706848287727512
bao.desi_dr2+planck_2018_lensing,wlcdm,-3.279751290616857,-3.281311485705295,0.1114378790174846
bao.desi_dr2+planck_2018_plik,Alcdm,-1.5805304073791857,-1.5671906493009828,0.1816481492079311
bao.desi_dr2+planck_2018_plik,klcdm,-4.621185135028824,-4.61973150077597,0.22655287625418194
bao.desi_dr2+planck_2018_plik,lcdm,-1.3529525792696933,-1.343579272061561,0.16497728555022437
bao.desi_dr2+planck_2018_plik,mlcdm,-3.76086612006183,-3.7628594679674734,0.22154402926019168
bao.desi_dr2+planck_2018_plik,nrunlcdm,-5.528893821573758,-5.522031661799588,0.2178763402544444
bao.desi_dr2+planck_2018_plik,rlcdm,-4.006358931251748,-4.008635164106295,0.20819687877214668
bao.desi_dr2+planck_2018_plik,walcdm,-0.8712666249312361,-0.8657348737211805,0.12982744439797778
bao.desi_dr2+planck_2018_plik,wlcdm,-3.0125217396421986,-3.0129388991281303,0.21205637998728366
bao.desi_dr2+planck_2018_plik_nolens,Alcdm,-0.2616716104777736,-0.25874435978937527,0.049482730144462944
bao.desi_dr2+planck_2018_plik_nolens,klcdm,-5.279401155112667,-5.278672748436861,0.24464379700436958
bao.desi_dr2+planck_2018_plik_nolens,lcdm,-2.342481959345113,-2.337867008506123,0.21409894298979154
bao.desi_dr2+planck_2018_plik_nolens,mlcdm,-5.493813590163519,-5.4884835791020805,0.250487423695746
bao.desi_dr2+planck_2018_plik_nolens,nrunlcdm,-6.957060637619518,-6.960141254719815,0.2442947237473228
bao.desi_dr2+planck_2018_plik_nolens,rlcdm,-5.159469279192427,-5.163864245239552,0.23884652410109594
bao.desi_dr2+planck_2018_plik_nolens,walcdm,-2.2689888157553755,-2.2686069035563605,0.2213431984246923
bao.desi_dr2+planck_2018_plik_nolens,wlcdm,-4.7727385521638865,-4.763218877966779,0.23184448559490123
bao.desi_dr2+sn.desdovekie,Alcdm,-1.8875579717902264,-1.8881842670265314,0.06581655821821969
bao.desi_dr2+sn.desdovekie,klcdm,-2.573394409717697,-2.572826412903737,0.07840192872067243
bao.desi_dr2+sn.desdovekie,lcdm,-1.8846786547047971,-1.8876601926065746,0.06813886273297987
bao.desi_dr2+sn.desdovekie,mlcdm,-1.8565647291979759,-1.8553381183029387,0.06754312015004642
bao.desi_dr2+sn.desdovekie,nrunlcdm,-1.7471706695389635,-1.745753029214086,0.06545406401577715
bao.desi_dr2+sn.desdovekie,rlcdm,-1.880051107421745,-1.8826285514776941,0.06504199542376767
bao.desi_dr2+sn.desdovekie,walcdm,-3.5074921429706256,-3.506598353495235,0.09502097821035226
bao.desi_dr2+sn.desdovekie,wlcdm,-2.2546455730050194,-2.250887843847181,0.08329894854836704
bao.desi_dr2+sn.desy5,Alcdm,-3.028604131129957,-3.025995559797366,0.08647244532787453
bao.desi_dr2+sn.desy5,klcdm,-3.101544283205293,-3.106711580501951,0.09082714787933144
bao.desi_dr2+sn.desy5,lcdm,-2.9555398218878794,-2.9572031548567566,0.0842778911286966
bao.desi_dr2+sn.desy5,mlcdm,-3.1042509270836716,-3.10342229154179,0.08090278379014956
bao.desi_dr2+sn.desy5,nrunlcdm,-3.0987722492146483,-3.098044495956117,0.08263099986050793
bao.desi_dr2+sn.desy5,rlcdm,-3.0107609742365944,-3.0092432312428627,0.08480333222529918
bao.desi_dr2+sn.desy5,walcdm,-1.3867980312578372,-1.3826374261346928,0.07783708954364875
bao.desi_dr2+sn.desy5,wlcdm,-0.769841458766333,-0.7695450196841875,0.05214574808709841
bao.desi_dr2+sn.pantheonplus,Alcdm,-1.731096591389557,-1.7300103026746,0.06458287036608816
bao.desi_dr2+sn.pantheonplus,klcdm,-2.712489963543799,-2.7120874874997867,0.07905856086230575
bao.desi_dr2+sn.pantheonplus,lcdm,-1.8332273250854818,-1.8333539692387149,0.0658327373413066
bao.desi_dr2+sn.pantheonplus,mlcdm,-1.6268939479209503,-1.629443330794004,0.062078275634919106
bao.desi_dr2+sn.pantheonplus,nrunlcdm,-1.758325529797089,-1.755876668805172,0.06826888007751838
bao.desi_dr2+sn.pantheonplus,rlcdm,-1.8423133938774316,-1.8414340479585007,0.0681653881834033
bao.desi_dr2+sn.pantheonplus,walcdm,-4.602427896651289,-4.600151080984631,0.08919101995516077
bao.desi_dr2+sn.pantheonplus,wlcdm,-2.8651854083171098,-2.863145152496884,0.08597884752683804
bao.desi_dr2+sn.union3,Alcdm,-2.137386106765777,-2.1368890439474892,0.06980976031832017
bao.desi_dr2+sn.union3,klcdm,-3.092660384038681,-3.0917483801703423,0.08072872751305382
bao.desi_dr2+sn.union3,lcdm,-2.1232723876055926,-2.1231204542683226,0.06763452192880273
bao.desi_dr2+sn.union3,mlcdm,-2.153018471589344,-2.15161547071777,0.07351690064408423
bao.desi_dr2+sn.union3,nrunlcdm,-2.0277505161179032,-2.02801472032772,0.06732988749030072
bao.desi_dr2+sn.union3,rlcdm,-2.1332325607503972,-2.131238737885772,0.06864311843566218
bao.desi_dr2+sn.union3,walcdm,-1.8686525795023683,-1.8713186425626898,0.08199480345211066
bao.desi_dr2+sn.union3,wlcdm,-1.6408377327143375,-1.6435682834861023,0.07395178259421877
planck_2018_plik+sn.pantheonplus,Alcdm,-3.6155415887729916,-3.609856205625647,0.2339705078953632
planck_2018_plik+sn.pantheonplus,klcdm,-2.0174480561496706,-2.00863519216432,0.20402661135454808
planck_2018_plik+sn.pantheonplus,lcdm,-0.30722961370725443,-0.3038916274042549,0.054033670719922114
planck_2018_plik+sn.pantheonplus,mlcdm,-3.5613005330448084,-3.5569831080322274,0.23697183150414328
planck_2018_plik+sn.pantheonplus,nrunlcdm,-4.041728495668496,-4.036387889447951,0.2414811707358456
planck_2018_plik+sn.pantheonplus,rlcdm,-4.061591276529659,-4.052099575714692,0.23683949433987123
planck_2018_plik+sn.pantheonplus,walcdm,-4.804836983674877,-4.799684738128235,0.23631540804680248
planck_2018_plik+sn.pantheonplus,wlcdm,-3.6533630821969902,-3.6414205954083627,0.2369068710406337
