,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
209,6.97238816250923e-29,-0.46224765296481785,3.3663501154374664,-70.03346512225139,-inf,125
210,1.0886422139635056e-28,-4.29819269158227,-2.1992320013585247,-69.57993841572127,-89.84843267307792,125
211,3.1638199352868573e-28,2.152713281982807,-0.5556378653274567,-68.50512135273162,-inf,125
212,5.489821382281055e-28,0.2996453070511711,3.007140275147851,-67.94603760101427,-182.54611410416442,125
213,8.607916118968417e-28,3.3443447512932405,3.328890742185038,-67.4882828924253,-411.5740758876725,125
214,8.769320997003097e-28,1.0923228104458946,1.9101176622003386,-67.46173760159249,-157.28809955202894,125
215,9.522262872487715e-28,-0.20898909945478827,2.75793162635121,-67.3713962947075,-94.59872433861756,125
216,1.3141792468738014e-27,-3.641011659839358,-1.5752979520684303,-67.04126322540708,-inf,125
217,5.8220763639732115e-27,-3.612108720894192,-1.5902961329768726,-65.54485041797523,-78.58013810315396,125
218,5.942916343901846e-27,-3.169989310732374,1.4459988033598528,-65.51633923013715,-92.33261079730873,125
219,6.26501326349091e-27,-1.673453274169293,3.9438829746688526,-65.45559033494116,-225.08665014855768,125
220,7.52934287142056e-27,0.585762047127897,2.5822723964690333,-65.26379510078326,-inf,125
221,7.840094407042234e-27,-2.4837565859064394,4.187322663755019,-65.21538382506178,-652.7187836632777,125
222,1.084349266328264e-26,0.5202316838012351,2.875590014159391,-64.88310138589136,-65.54485041797523,125
223,3.8123430026026506e-26,2.0709877355582567,0.3472791483705979,-63.61786930733334,-164.8806001809122,125
224,6.578761376224316e-26,-4.374311229330598,-2.4206120885276308,-63.06429861220225,-inf,125
225,8.241948335465e-26,-0.5014528828966558,3.0888786698607102,-62.83094016502479,-76.70645569320114,125
226,2.5354079302436973e-25,-4.5914364699533134,-4.081856557749704,-61.699269123506866,-124.20996112634417,125
